p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
2.441697861362535e-183,3.5669554532089,1,0.004,5.699166978206293e-179,5031425F14Rik
1.0586410264743442e-178,2.8226951343812106,0.75,0.002,2.470974019893767e-174,Smarca1
1.881174509227001e-175,4.501660089714095,1,0.004,4.390849421986743e-171,Msc
1.881174509227001e-175,4.387282507784051,1,0.004,4.390849421986743e-171,Foxp2
2.5434510333030005e-175,3.143851095227354,1,0.004,5.936669056832533e-171,Mmp15
3.1097500243267636e-175,4.160114370692129,1,0.004,7.258467531781099e-171,Cntfr
3.1097500243267636e-175,3.581041166831544,1,0.004,7.258467531781099e-171,BC096441
6.945674440203294e-175,3.262138580869894,1,0.004,1.6211898710878509e-170,Ngf
2.8070898165922365e-167,5.248905963647599,1,0.004,6.55202834090794e-163,Msr1
2.8070898165922365e-167,3.177625903993559,1,0.004,6.55202834090794e-163,Pappa
4.531573698789722e-167,5.552274850946143,1,0.004,1.057714617034509e-162,Lilra5
6.039235678076568e-167,4.225159523769514,1,0.004,1.4096179996198517e-162,Rassf9
6.645829106619633e-167,4.0244448842112615,1,0.004,1.5512029717760886e-162,Gata4
6.645829106619633e-167,2.6210317483835923,1,0.004,1.5512029717760886e-162,Rgs17
1.072276370885754e-166,3.635973217867527,1,0.004,2.5028002772844387e-162,Fam110b
1.1798928542620355e-166,3.577288654599555,1,0.004,2.753987911133017e-162,Aox3
1.1437008823488319e-163,2.3655453781987665,0.75,0.002,2.6695122294904086e-159,Prtg
6.91333734678679e-160,3.877155397858742,1,0.005,1.6136420701135046e-155,Gpr98
9.096894699021028e-160,5.26381377306761,1,0.005,2.123306191698498e-155,Cxcl13
2.2694480521827176e-159,4.01902944811163,1,0.005,5.2971186985996814e-155,Rbpms2
7.435488834224082e-159,4.60836432761214,1,0.005,1.735517448796243e-154,Sh2d1b1
9.77520259269099e-159,3.585464301091445,1,0.005,2.281630037160004e-154,Ptgir
1.2849821753336071e-158,2.691808080407159,1,0.005,2.999276895446172e-154,Aoah
7.159205950342909e-153,5.157218465505982,1,0.005,1.6710302608695385e-148,Tbx20
9.307898036682036e-153,2.8840702583353486,1,0.005,2.172556480741954e-148,Sybu
1.0158688821728826e-152,3.0262916660937407,1,0.005,2.3711395578797252e-148,Tnfsf12
1.2100279927148945e-152,4.220150504202926,1,0.005,2.824326337795835e-148,Tgm1
3.767518979420077e-152,4.096304592774227,1,0.005,8.793766049864402e-148,Tbc1d2
1.9747987395824268e-151,2.070215454169392,1,0.005,4.609377738059342e-147,Tbc1d16
3.797949114245882e-151,2.9876912205035766,0.75,0.003,8.864793027561313e-147,Irs3
5.3715506361784794e-151,1.7384136694089432,0.75,0.003,1.2537736339904189e-146,Ccdc13
8.346627158716691e-147,6.915429694365326,1,0.005,1.948186245116063e-142,Vsig4
1.0736216246975617e-146,3.2173602349077246,1,0.005,2.505940234206579e-142,Bdh2
1.7758577975566854e-146,4.648628096096032,1,0.005,4.1450296852770594e-142,Tnfsf13b
7.374937548665722e-146,2.7795591004419586,1,0.005,1.7213841732340662e-141,Plce1
7.666687632304735e-146,2.1844468469079588,0.5,0.001,1.789481560256248e-141,9530026P05Rik
1.4943908996430337e-145,1.5900914789306404,0.5,0.001,3.488057798856805e-141,Pcdhb20
9.838227584022166e-141,3.3159980695442655,1,0.005,2.296340700386614e-136,Mecom
1.2525579114691702e-140,3.9993117925124055,1,0.005,2.9235954211601904e-136,Fam181b
1.5945539770208848e-140,3.8715344046355664,1,0.005,3.721848437764447e-136,Ccdc48
1.8728868169680863e-140,3.621115334792311,1,0.005,4.37150511948521e-136,Meox1
2.029743207422703e-140,3.8627347149694775,1,0.005,4.737623620445331e-136,Ankrd29
3.563075579248645e-140,3.947691966465815,1,0.005,8.316574709524262e-136,Serpinb8
6.010779318682358e-140,1.9354894032237409,0.75,0.003,1.402976000773649e-135,Kcna5
7.3403478992760625e-140,3.455489510096985,1,0.005,1.7133106031700257e-135,Atoh8
7.953742441026006e-140,3.021372441708198,1,0.005,1.85648302315988e-135,Paqr6
9.225448838668663e-140,1.8199425606727828,0.75,0.003,2.1533120134336528e-135,Mir1956
1.0610552037861382e-135,4.856524526680003,1,0.006,2.4766089511572253e-131,Clec4a1
1.8251523667632857e-135,2.9104606560491475,1,0.006,4.2600881392621853e-131,Fxyd2
2.130905964103952e-135,3.826000902715715,1,0.006,4.973747610815035e-131,Rbp7
2.487783274104236e-135,3.8922024571066873,1,0.006,5.806734940086697e-131,Fam149a
9.262759672872705e-135,2.818904920113234,1,0.006,2.162020735245218e-130,Hnmt
3.386934867966972e-131,1.6385232526477318,0.75,0.003,7.90544467532171e-127,Adrb1
8.180175920924142e-131,7.9438659501649,1,0.006,1.9093348617029042e-126,Cd207
1.1881748824151245e-130,5.261550778656408,1,0.006,2.773318993045142e-126,Tcf15
2.0029691811558805e-130,4.227012934917513,1,0.006,4.6751303657359404e-126,Siglece
6.123359420929174e-130,3.0651091821062537,1,0.006,1.4292533224390786e-125,Rac3
8.882968319538438e-130,3.535339272347183,1,0.006,2.073373635463467e-125,Pld2
1.1103254594573039e-129,1.4191757610160494,1,0.006,2.591610654919293e-125,Gm5086
1.3752198514595375e-125,3.7746984403619135,1,0.006,3.2099006552917065e-121,Bend6
1.477654608400046e-125,2.7035118963197915,1,0.006,3.4489936214665474e-121,Apoc2
2.6244484071133257e-125,2.6407138982206506,1,0.006,6.125725027043213e-121,Fzd2
2.81970397530288e-125,3.007895938432018,1,0.006,6.5814710487544525e-121,Lrig3
5.162092215275997e-125,1.56591068806113,0.5,0.001,1.2048839439675706e-120,E030003E18Rik
5.376704847756206e-125,3.3373306034409254,1,0.006,1.254976678514776e-120,6030429G01Rik
1.6087879567478528e-122,1.690517143093622,0.75,0.003,3.755071969845163e-118,Dyrk4
8.280879879635123e-122,3.811288543435119,1,0.006,1.932840172705634e-117,Ebf2
1.3469002863988272e-121,3.408005470551341,1,0.006,3.1437999584835025e-117,Kctd17
1.0059414003183207e-120,2.8945808078839517,1,0.006,2.3479678224829924e-116,Mmp17
6.064082542006471e-120,2.9050847532767596,1,0.006,1.4154175061297304e-115,Bik
9.17161174938793e-120,2.0465430905620083,1,0.006,2.1407458984246366e-115,Zfp551
6.681696644536785e-118,4.92483326359789,1,0.007,1.559574813801331e-113,Cdk18
7.643385378857956e-118,4.586703836486857,1,0.007,1.7840425812792356e-113,Pde1a
8.743193739289032e-118,4.713314996576792,1,0.007,2.040748850687453e-113,Niacr1
1.0000916208300661e-117,3.7835672033942345,1,0.007,2.3343138521794573e-113,Cpxm2
1.3992646933169143e-117,2.4601640362644175,1,0.007,3.26602372067101e-113,Rhou
2.9273158969903126e-117,2.6640088051129074,1,0.007,6.832648035165089e-113,Zfp651
4.376620698919703e-117,2.872452291967329,1,0.007,1.0215470373348478e-112,Plekhh3
4.7215988268486305e-116,2.7812699619399006,0.75,0.004,1.1020683821747388e-111,Tnip3
1.489450581988481e-115,1.4547205470835858,0.75,0.004,3.4765266034193136e-111,Gng7
5.080624725428533e-114,4.453717363413613,1,0.007,1.1858686171622739e-109,Smad6
1.1082717700420488e-113,3.4950143770712723,1,0.007,2.586817138455146e-109,Porcn
