p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,tissue
5.448950391757477e-28,0.2536985641228138,0.355,0.186,1.2718395109401128e-23,1,Adss,Marrow
6.000571902479039e-28,0.6001345427303066,0.515,0.346,1.4005934877576324e-23,1,Srsf7,Marrow
6.226353675877793e-28,0.4520810648475644,0.3,0.138,1.4532932114866354e-23,1,Odf2,Marrow
6.456519568541098e-28,0.3775857092426662,0.481,0.29,1.5070162324931777e-23,1,Thoc2,Marrow
6.7812270083520535e-28,0.4879171991503406,0.303,0.139,1.5828061960194528e-23,1,Sart3,Marrow
6.810370314533732e-28,0.3934035106035272,0.315,0.152,1.5896085351153185e-23,1,Polr2i,Marrow
6.877211533822719e-28,0.3407742783239991,0.878,0.749,1.6052099441095608e-23,1,Zfp36,Marrow
7.150761651828677e-28,0.319851945962494,0.312,0.155,1.6690592771533316e-23,1,Fzr1,Marrow
7.219386482197182e-28,0.4756574490322478,0.669,0.491,1.6850769988096444e-23,1,Lbr,Marrow
7.9543393645052275e-28,0.5609972767630289,0.256,0.113,1.8566223510691652e-23,1,Mrpl27,Marrow
9.05968576434171e-28,0.7486622584336096,0.266,0.112,2.1146212542549988e-23,1,Zfp238,Marrow
9.237509341065337e-28,0.2946339362690322,0.7,0.519,2.1561270552980605e-23,1,Sik1,Marrow
9.544015877185442e-28,0.5061028767788587,0.535,0.351,2.227668745893854e-23,1,Anapc5,Marrow
9.693351509447094e-28,0.4026142245693318,0.426,0.241,2.262525175820046e-23,1,Rnf10,Marrow
1.0026288534721376e-27,0.6703461933139505,0.272,0.119,2.3402360068893163e-23,1,N4bp2,Marrow
1.1778418175208987e-27,0.46686867788993913,0.311,0.152,2.74920058627553e-23,1,Fam89b,Marrow
1.1818393030378992e-27,0.2957533794850917,0.558,0.363,2.7585311172207607e-23,1,Csnk2b,Marrow
1.2392202544048453e-27,0.31054605753048836,0.466,0.276,2.8924639958063494e-23,1,Prmt1,Marrow
1.4667498973462986e-27,0.30680493344044946,0.325,0.161,3.4235409353959954e-23,1,Nup50,Marrow
1.5138312393337346e-27,0.5531781954991257,0.272,0.12,3.53343349572887e-23,1,Rtcd1,Marrow
1.8469426643687128e-27,0.25019755608862315,0.352,0.181,4.3109488729030125e-23,1,Wwp2,Marrow
1.948659506507849e-27,0.2596387503612334,0.525,0.329,4.5483661541399705e-23,1,Aff3,Marrow
1.9949404250364595e-27,0.32754126417087015,0.487,0.311,4.6563904460776e-23,1,Ssr2,Marrow
2.6363501165624022e-27,0.3723289567519643,0.642,0.444,6.153504807068303e-23,1,Sec11c,Marrow
2.6419955467087186e-27,0.3942904169032011,0.258,0.113,6.16668180557282e-23,1,Smarcad1,Marrow
2.6673734517565022e-27,0.4676258481461417,0.279,0.133,6.225916373744852e-23,1,Nde1,Marrow
2.9369302001715376e-27,0.3261786388922614,0.469,0.291,6.855088780220386e-23,1,Ppp1cb,Marrow
3.158513477035472e-27,0.3129380870957501,0.705,0.532,7.372286306748495e-23,1,Sept7,Marrow
3.220815993626424e-27,0.378420784754681,0.365,0.191,7.517706610723436e-23,1,Rad21,Marrow
3.297501096499943e-27,0.33072358510124555,0.608,0.432,7.696697309340518e-23,1,Spnb2,Marrow
3.402279601551817e-27,0.5615833694876269,0.35,0.178,7.941260817982095e-23,1,Ap3b1,Marrow
3.4667012753981715e-27,0.4263041862738448,0.313,0.152,8.091627446906872e-23,1,Ethe1,Marrow
3.5589134717549694e-27,0.3421964556297583,0.506,0.317,8.306859934423274e-23,1,Mrps14,Marrow
3.620895398747266e-27,0.5291656066861679,0.315,0.157,8.451531950215994e-23,1,Gna11,Marrow
3.7358592127214996e-27,0.2679295538426567,0.697,0.511,8.719868988413252e-23,1,Wasf2,Marrow
3.832402996277127e-27,0.4409310421510604,0.274,0.131,8.945211833610443e-23,1,Dctn6,Marrow
4.553041645519941e-27,0.2744688823595105,0.283,0.133,1.0627254504808094e-22,1,Th1l,Marrow
4.660995794757416e-27,0.3331663298407488,0.369,0.198,1.0879230284543285e-22,1,Nubp2,Marrow
4.7080329734115225e-27,0.2927715886389777,0.653,0.494,1.0989019763239834e-22,1,Atp5g3,Marrow
4.809674673355026e-27,0.3779498160826238,0.277,0.126,1.1226261655077966e-22,1,Zfp91,Marrow
5.0720446590609534e-27,0.37591502562215773,0.282,0.134,1.1838659438714172e-22,1,Ino80e,Marrow
5.137901217168025e-27,0.2808968089578352,0.306,0.149,1.1992375230991886e-22,1,Pih1d1,Marrow
6.392372697536812e-27,0.26749413767579266,0.454,0.275,1.4920437113320672e-22,1,Polr2g,Marrow
8.142131350908737e-27,0.4468767539507543,0.36,0.188,1.9004548786156083e-22,1,Snrnp200,Marrow
8.298881757967394e-27,0.45262934656765985,0.283,0.137,1.9370419911271695e-22,1,Oaz2,Marrow
8.475503576425977e-27,0.27719361411179033,0.664,0.491,1.9782672897735873e-22,1,Matr3,Marrow
8.479404618114341e-27,0.30985227132224225,0.302,0.144,1.9791778319140684e-22,1,Rfwd2,Marrow
8.59191559447442e-27,0.36362037644021683,0.346,0.179,2.0054390189062743e-22,1,Rad50,Marrow
8.706017015823277e-27,0.46917491460663774,0.3,0.144,2.032071431663311e-22,1,Taf1,Marrow
9.374942848684226e-27,0.41429721877388914,0.512,0.331,2.188205410311385e-22,1,Srsf6,Marrow
9.448771917599112e-27,0.32105446722192443,0.264,0.118,2.2054378532868086e-22,1,Bap1,Marrow
9.581525815838792e-27,0.2555963956177676,0.481,0.296,2.2364239406749327e-22,1,Gtf2a2,Marrow
9.614297761421055e-27,0.2828720977432919,0.298,0.143,2.244073240493288e-22,1,Men1,Marrow
1.1448795588689565e-26,0.39577551851666115,0.269,0.124,2.672263378356031e-22,1,Hdac3,Marrow
1.3065018637234306e-26,0.2765584220099626,0.44,0.262,3.0495060001168596e-22,1,Snrpa,Marrow
1.5413293972290067e-26,0.3860513844928519,0.772,0.59,3.5976169460722243e-22,1,Tnfrsf13c,Marrow
1.548582590068161e-26,0.5476055823847119,0.472,0.284,3.6145466234780945e-22,1,Snrpd1,Marrow
1.715393615873384e-26,0.35939384073498815,0.279,0.13,4.0039002388100655e-22,1,Tdp2,Marrow
1.7835971040036566e-26,0.3168508874820848,0.502,0.317,4.163094000454935e-22,1,Atpif1,Marrow
1.8060035569289743e-26,0.50272153092549,0.379,0.204,4.2153929022279187e-22,1,Zfp644,Marrow
1.8895892103198833e-26,0.2679701617429391,0.448,0.277,4.41049017580764e-22,1,Psmc2,Marrow
1.8947313239257477e-26,0.30339730835254475,0.589,0.415,4.422492383175087e-22,1,Rbbp7,Marrow
1.9011365364583104e-26,0.2728092958785795,0.403,0.235,4.437442789747343e-22,1,Lsm3,Marrow
1.9913777946732035e-26,0.3367155681076843,0.471,0.291,4.648074910546725e-22,1,Hbxip,Marrow
1.9918497460898404e-26,0.2578823787214315,0.63,0.455,4.649176492348296e-22,1,Skp1a,Marrow
2.173399879612716e-26,0.34477600082905546,0.523,0.336,5.072932659004041e-22,1,Mll3,Marrow
2.4260710433610764e-26,0.3324924138562242,0.429,0.25,5.662692422309088e-22,1,Ubn1,Marrow
2.723750179898435e-26,0.3945352377876752,0.271,0.124,6.357505294900938e-22,1,Exosc7,Marrow
3.030605957356845e-26,0.30433092813031193,0.306,0.15,7.073737365066612e-22,1,Cherp,Marrow
3.1297746720495155e-26,0.32165674103530106,0.266,0.12,7.3052070620307745e-22,1,Gabpb1,Marrow
3.189678010504308e-26,0.31682318139248844,0.326,0.165,7.445027444318106e-22,1,5730403B10Rik,Marrow
3.1988692155989156e-26,0.3745964152353478,0.361,0.194,7.466480636129429e-22,1,1810013D10Rik,Marrow
3.47120544887671e-26,0.3255448645132386,0.666,0.482,8.102140638223129e-22,1,Ap2m1,Marrow
3.6751976756104424e-26,0.32717566052653346,0.66,0.492,8.578278894642334e-22,1,Gsk3b,Marrow
4.3531251786325856e-26,0.2973670048182444,0.369,0.2,1.0160629479446318e-21,1,Chd9,Marrow
4.5558740230050176e-26,0.32082108819536703,0.389,0.215,1.0633865557096012e-21,1,Nr2c2,Marrow
4.848733633087109e-26,0.2542169982794338,0.251,0.116,1.131742917298862e-21,1,Uxt,Marrow
4.8886586772158185e-26,0.3182923632679686,0.297,0.152,1.1410618218489441e-21,1,Ddt,Marrow
4.9855336153807074e-26,0.27034187368081986,0.371,0.205,1.1636734011660109e-21,1,Man1a2,Marrow
5.1059179867616904e-26,0.2785901221943816,0.389,0.22,1.1917723172900462e-21,1,Dpy30,Marrow
5.541445418718981e-26,0.2948832212271024,0.351,0.188,1.2934287751831974e-21,1,Ufm1,Marrow
6.001562559523164e-26,0.2994662536104027,0.38,0.209,1.4008247170183016e-21,1,Sppl3,Marrow
6.006292764373588e-26,0.3239320918408284,0.335,0.174,1.4019287941324393e-21,1,Trappc3,Marrow
6.867559635600142e-26,0.2805622121672968,0.952,0.881,1.6029570945454292e-21,1,Oaz1,Marrow
7.31810638654877e-26,0.3447377469167465,0.252,0.114,1.7081192116843485e-21,1,Ncoa2,Marrow
7.34788630852235e-26,0.3001141207802256,0.41,0.233,1.7150701432722016e-21,1,Copb2,Marrow
7.791735100788238e-26,0.2512375747218156,0.368,0.202,1.8186688898749826e-21,1,1700020I14Rik,Marrow
8.6375595342976e-26,0.5427907035166468,0.523,0.333,2.016092770900403e-21,1,Slbp,Marrow
8.723676922924812e-26,0.5169579937394628,0.522,0.335,2.0361934305798803e-21,1,Pmf1,Marrow
8.75369625370471e-26,0.25295891415414573,0.439,0.259,2.0432002425772166e-21,1,Setx,Marrow
9.045093712055585e-26,0.40988347924231494,0.613,0.435,2.111215323330894e-21,1,Ddx39b,Marrow
9.67897179689116e-26,0.3690986317861915,0.301,0.147,2.2591688071123657e-21,1,Brcc3,Marrow
9.702908584594512e-26,0.299927210985631,0.386,0.216,2.264755892730205e-21,1,Imp3,Marrow
1.063115076999281e-25,0.2770225277288212,0.315,0.177,2.4814169012240218e-21,1,Map2k3,Marrow
1.0675847756776223e-25,0.5056479406225418,0.287,0.14,2.4918496249091385e-21,1,Ahcy,Marrow
1.0990499754782243e-25,0.2942199230513838,0.447,0.266,2.5652925477637233e-21,1,Snx1,Marrow
1.1798958634248857e-25,0.4939371817608009,0.444,0.262,2.753994934820026e-21,1,Phgdh,Marrow
1.2283364413373036e-25,0.3407717047477199,0.428,0.25,2.8670600877254004e-21,1,Phf5a,Marrow
1.23328117446368e-25,0.46012981195503766,0.259,0.12,2.8786015893156752e-21,1,Pold2,Marrow
1.2893612189387668e-25,0.4111980166410252,0.297,0.143,3.0094980211249758e-21,1,Tspan14,Marrow
1.3029017996899317e-25,0.274217837221304,0.328,0.17,3.0411030906562696e-21,1,Zfp217,Marrow
1.329942731926366e-25,0.4413031922763153,0.263,0.12,3.104219330589331e-21,1,Dscr3,Marrow
1.4528992864904077e-25,0.44051829230665795,0.389,0.222,3.391212224597261e-21,1,Hibadh,Marrow
1.4930445865691918e-25,0.28287755900175826,0.355,0.19,3.4849153695111504e-21,1,Dctn1,Marrow
1.5207177476866352e-25,0.28868995633294414,0.647,0.461,3.549507294875375e-21,1,Ndufb11,Marrow
