p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
2.6274062782419614e-10,0.27311694167521505,0.714,0.358,6.132628994044562e-6,1,Dbnl1
2.6540585656268083e-10,1.0699752593641074,0.286,0.078,6.194838098029533e-6,1,Shmt21
2.8731422821935506e-10,0.36989843025102065,0.4,0.139,6.706201400867967e-6,1,4933426M11Rik1
3.018175537634374e-10,0.3898453104501298,0.707,0.385,7.0447235223923915e-6,1,Akr1a11
3.0793191176511794e-10,0.29300895553907536,0.429,0.158,7.187438752509618e-6,1,Fxr11
3.113093941942821e-10,0.4434505627292733,0.686,0.342,7.266272569888739e-6,1,Map4k11
3.9125426867199437e-10,0.5665159031519744,0.6,0.286,9.13226588507302e-6,1,Khdrbs11
3.934699185410388e-10,0.641818008604861,0.486,0.201,9.183981368666386e-6,1,Golph31
3.951283394273225e-10,0.26155225922362924,0.521,0.217,9.222690570573135e-6,1,Fubp11
4.789450278251556e-10,0.29038665895432203,0.579,0.265,1.1179055894466958e-5,1,Il4ra1
4.927757050719965e-10,0.5857883047415715,0.5,0.206,1.150187773208547e-5,1,Ankrd171
4.942699072954002e-10,0.4798784538890519,0.779,0.441,1.1536753906181936e-5,1,Btla1
4.980906898883846e-10,0.46915365547870724,0.393,0.134,1.1625934792684785e-5,1,Adsl1
5.4363377410906e-10,0.47812387494081676,0.493,0.214,1.268895592147957e-5,1,Ube2r21
5.72469653956567e-10,0.31991853322210106,0.371,0.123,1.336201419300023e-5,1,Ttc31
5.725738392226337e-10,0.32830107459236,0.307,0.083,1.3364445981295494e-5,1,Cuedc21
5.962306282348412e-10,0.3918134186299951,0.571,0.257,1.3916619093629428e-5,1,Cdk131
6.069303575582569e-10,0.4004436346062761,0.35,0.107,1.4166361475767273e-5,1,Txndc111
6.137240832200721e-10,0.6015431102540933,0.45,0.171,1.4324933826439702e-5,1,Rnf1151
6.313134887922916e-10,0.4277661237024666,0.371,0.118,1.4735488141900879e-5,1,Pom1211
6.964939127998072e-10,0.45315092306130245,0.414,0.144,1.62568644186603e-5,1,Cuta1
7.018020590384619e-10,0.42047107428141306,0.436,0.158,1.6380761860016737e-5,1,2900064A13Rik1
7.114063064466475e-10,0.35424896753751334,0.729,0.377,1.66049345987712e-5,1,Irs21
8.015062482942159e-10,0.5756591111492426,0.364,0.12,1.870795734143529e-5,1,Magt11
8.566556323888838e-10,0.3875277624061244,0.429,0.158,1.9995199115588937e-5,1,Rsf11
8.947437064898497e-10,0.472896576983469,0.643,0.316,2.0884212853179583e-5,1,C130039O16Rik1
9.229957779808263e-10,0.6856108106113559,0.386,0.139,2.1543644453850467e-5,1,Eif1ax1
1.0020927445798714e-9,0.2890309631710055,0.529,0.23,2.338984675123878e-5,1,Ap1b11
1.0236904941858645e-9,0.30069516051750433,0.407,0.139,2.3893959824792264e-5,1,Eif1b1
1.0307786375927325e-9,0.48525556704244366,0.379,0.134,2.405940418005197e-5,1,Fam168b1
1.0601708221492045e-9,0.730997806190611,0.407,0.152,2.474544715978458e-5,1,Syncrip1
1.2028184275385202e-9,0.39783432943707986,0.707,0.38,2.80749849171766e-5,1,Cybb1
1.2331729153744831e-9,0.5201893588605588,0.486,0.201,2.878348901775581e-5,1,Hnrnpa31
1.286147196113471e-9,0.7776300764380446,0.429,0.171,3.001996170448453e-5,1,Zfp2921
1.329663858122066e-9,0.5271334212104462,0.621,0.321,3.1035684112427145e-5,1,Cd381
1.409538617972929e-9,0.34310118385835375,0.55,0.238,3.290004088210613e-5,1,Bola21
1.4559110111260515e-9,0.5560018355604939,0.529,0.251,3.398241891069317e-5,1,Atp1a11
1.4627786990682867e-9,0.3743642304841108,0.464,0.195,3.414271761495288e-5,1,Exosc81
1.4672680934829509e-9,0.2694983366794572,0.479,0.193,3.424750456998556e-5,1,Irak11
1.4676357455724376e-9,0.39626215835995815,0.736,0.417,3.4256085937406265e-5,1,Sept71
1.5266149488612392e-9,0.396041591474241,0.386,0.134,3.5632719521370186e-5,1,Sp11
1.5267474323635899e-9,0.4060220667081502,0.393,0.136,3.563581181879855e-5,1,Smap11
1.593453227781173e-9,0.415269261262845,0.336,0.104,3.719279178964036e-5,1,Galnt111
1.6113823508343568e-9,0.2620006918083986,0.343,0.11,3.761127545082472e-5,1,Scfd11
1.6919299719464753e-9,0.4087171689807825,0.614,0.291,3.949133747520268e-5,1,Lman21
1.7934914191210169e-9,0.31713123767253926,0.821,0.455,4.1861883213703655e-5,1,Wasf21
1.7947587455836992e-9,0.5728181050327472,0.464,0.184,4.189146388066912e-5,1,Lrch11
1.8341809401504317e-9,0.3108225190394629,0.729,0.374,4.2811617324051226e-5,1,Lrp101
2.0578199077410914e-9,0.4632609315462428,0.693,0.38,4.803157446658482e-5,1,Mtpn1
2.0970362800337382e-9,0.6007597245036695,0.421,0.158,4.894692381226748e-5,1,Nfx11
2.1667165033868925e-9,0.8679882501778176,0.357,0.131,5.0573329905553456e-5,1,Actr101
2.274796775661213e-9,0.635712023700501,0.471,0.201,5.309603154070837e-5,1,4933407C03Rik1
