MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s),category
MGI:101775,Cd80,CD80 antigen,16,,external side of plasma membrane,is a part of myeloid dendritic cell,,IDA,,J:86264 J:91939 ,external side of plasma membrane
MGI:101775,Cd80,CD80 antigen,16,,external side of plasma membrane,is a part of microglial cell|is a part of astrocyte,,IDA,,J:93933 ,external side of plasma membrane
MGI:101775,Cd80,CD80 antigen,16,,external side of plasma membrane,is a part of B cell,,IDA,,J:30239 ,external side of plasma membrane
MGI:101775,Cd80,CD80 antigen,16,,external side of plasma membrane,,,IDA,,J:94873 J:125145 J:140121 ,external side of plasma membrane
MGI:1328316,Cd83,CD83 antigen,13,,external side of plasma membrane,"is a part of blood,is a part of CD4-positive, alpha-beta T cell",,IDA,,J:92721 ,external side of plasma membrane
MGI:101773,Cd86,CD86 antigen,16,,external side of plasma membrane,is a part of microglial cell|is a part of astrocyte,,IDA,,J:93933 ,external side of plasma membrane
MGI:101773,Cd86,CD86 antigen,16,,external side of plasma membrane,is a part of dendritic cell,,IDA,,J:87420 ,external side of plasma membrane
MGI:101773,Cd86,CD86 antigen,16,,external side of plasma membrane,,,IDA,,J:87421 J:143981 ,external side of plasma membrane
MGI:101773,Cd86,CD86 antigen,16,,external side of plasma membrane,is a part of myeloid dendritic cell,,IDA,,J:86264 J:91939 ,external side of plasma membrane
MGI:2135946,Cd163,CD163 antigen,6,,external side of plasma membrane,,,ISO,Q86VB7 ,J:164563 ,external side of plasma membrane
MGI:1889024,Cd200r1,CD200 receptor 1,16,,external side of plasma membrane,"is a part of blood,is a part of lymphocyte|is a part of thymus|is a part of bone marrow|is a part of spleen",,IDA,,J:92106 ,external side of plasma membrane
MGI:3042847,Cd200r2,Cd200 receptor 2,16,,external side of plasma membrane,"is a part of blood,is a part of lymphocyte|is a part of spleen|is a part of bone marrow|is a part of thymus",,IDA,,J:92106 ,external side of plasma membrane
MGI:1921853,Cd200r3,CD200 receptor 3,16,,external side of plasma membrane,"is a part of blood,is a part of lymphocyte|is a part of thymus|is a part of bone marrow|is a part of spleen",,IDA,,J:92106 ,external side of plasma membrane
MGI:3036289,Cd200r4,CD200 receptor 4,16,,external side of plasma membrane,"is a part of blood,is a part of lymphocyte|is a part of spleen|is a part of bone marrow|is a part of thymus",,IDA,,J:92106 ,external side of plasma membrane
MGI:1916415,Cd209b,CD209b antigen,8,,external side of plasma membrane,is a part of macrophage,,IDA,,J:87632 ,external side of plasma membrane
MGI:2157948,Cd209e,CD209e antigen,8,,external side of plasma membrane,,,ISO,Q9NNX6 ,J:164563 ,external side of plasma membrane
MGI:3039602,Cd226,CD226 antigen,18,,external side of plasma membrane,is a part of natural killer cell,,IDA,,J:151768 ,external side of plasma membrane
MGI:109294,Cd244,CD244 natural killer cell receptor 2B4,1,,external side of plasma membrane,is a part of natural killer cell,,IDA,,J:53400 ,external side of plasma membrane
